ID;Status;AnzeigeName;Title;Type-Id;PT/AT Version;ZulassungStatus;Zulassung Ab;Zulassung Bis;Abgekündigt Seit;Definiert in Release
ML-119545;final;Zeitdienst;gemProdT_ZeitD_PTV_1.5.1-0;gemProdT_ZeitD;1.5.1-0;gültig (keine Neuzulassung);2017-04-26;2018-05-18;;R1.6.4
ML-119546;final;Zeitdienst;gemProdT_ZeitD_PTV_1.5.3-0;gemProdT_ZeitD;1.5.3-0;gültig (keine Neuzulassung);2019-05-15;2020-03-03;;R3.1.0
ML-119452;final;Zeitdienst;gemProdT_ZeitD_PTV_1.5.4-0;gemProdT_ZeitD;1.5.4-0;zulassungsfähig;2019-10-09;;;R3.1.2
ML-119453;final;Zeitdienst;gemProdT_ZeitD_PTV_1.5.5-0;gemProdT_ZeitD;1.5.5-0;zulassungsfähig;2020-03-03;;;R3.1.3
ML-119454;final;Zeitdienst;gemProdT_ZeitD_PTV_1.5.6-0;gemProdT_ZeitD;1.5.6-0;zulassungsfähig;2020-06-30;;;R4.0.0
ML-119455;final;Zeitdienst;gemProdT_ZeitD_PTV_1.5.7-0;gemProdT_ZeitD;1.5.7-0;zulassungsfähig;2020-11-12;;;R4.0.1
ML-119547;final;Zentrales Netz der TI;gemProdT_ZentrNetz_PTV_1.5.6-0;gemProdT_ZentrNetz;1.5.6-0;gültig (keine Neuzulassung);2019-10-09;2020-12-04;;R3.1.2
ML-119456;final;Zentrales Netz der TI;gemProdT_ZentrNetz_PTV_1.5.6-1;gemProdT_ZentrNetz;1.5.6-1;gültig (keine Neuzulassung);2020-12-04;2021-06-30;;R3.1.3 Hotfix 7
ML-119457;final;Zentrales Netz der TI;gemProdT_ZentrNetz_PTV_1.5.8-0;gemProdT_ZentrNetz;1.5.8-0;gültig (keine Neuzulassung);2020-06-30;2021-06-30;;R4.0.0
ML-121514;final;Zentrales Netz der TI;gemProdT_ZentrNetz_PTV_1.5.9-0;gemProdT_ZentrNetz;1.5.9-0;zulassungsfähig;2021-06-30;;;CI-Maintenance_21.2
